worldname	numPredators	numPrey	mean_energy
world_5	1	39	78.4
world_6	1	190	80.0
world_7	1	42	73.71428571428571
world_8	1	63	74.25
world_9	1	126	75.88888888888889
world_10	1	34	74.2
world_1	1	25	78.0
world_2	1	84	78.5
world_3	1	25	75.33333333333333
world_4	1	46	76.0
world_5	1	80	77.8
world_6	1	83	78.33333333333333
world_7	1	148	79.71428571428571
world_8	1	113	80.375
world_9	1	104	81.44444444444444
world_10	1	73	81.5
world_1	1	148	94.0
world_2	1	72	87.5
world_3	1	70	84.0
world_4	1	33	71.25
world_5	1	161	73.6
world_6	1	29	72.66666666666667
world_7	1	89	74.14285714285714
world_8	1	57	74.25
world_9	1	123	76.0
world_10	1	195	77.9
world_1	1	93	84.0
world_2	1	25	64.0
world_3	1	127	72.66666666666667
world_4	1	108	75.25
world_5	1	9	65.0
world_6	1	33	64.5
world_7	1	107	67.71428571428571
world_8	1	8	62.875
world_9	1	105	65.88888888888889
world_10	1	180	68.7
world_1	1	95	86.0
world_2	1	61	68.5
world_3	1	200	76.66666666666667
world_4	1	50	72.75
world_5	1	22	66.2
world_6	1	62	68.0
world_7	1	166	71.71428571428571
world_8	1	107	73.5
world_9	1	65	74.11111111111111
world_10	1	181	76.1
world_1	1	25	3.0
world_2	1	55	44.0
world_3	1	58	56.666666666666664
world_4	1	4	47.75
world_5	1	99	54.4
world_6	1	186	61.0
world_7	1	21	59.142857142857146
world_8	1	28	58.25
world_9	1	25	56.888888888888886
world_10	1	114	60.1
world_1	1	183	88.0
world_2	1	79	86.5
world_3	1	103	88.0
world_4	1	138	88.25
world_5	1	133	88.4
world_6	1	97	87.83333333333333
world_7	1	2	77.28571428571429
world_8	1	130	78.625
world_9	1	81	79.66666666666667
world_10	1	109	80.7
world_1	1	2	11.0
world_2	1	28	36.5
world_3	1	165	55.333333333333336
world_4	1	169	64.25
world_5	1	86	67.4
world_6	1	41	65.0
world_7	1	92	67.71428571428571
world_8	1	124	70.0
world_9	1	155	72.11111111111111
world_10	1	193	74.5
world_1	1	189	89.0
world_2	1	114	89.0
world_3	1	145	90.33333333333333
world_4	1	45	85.25
world_5	1	185	86.8
world_6	1	121	85.83333333333333
world_7	1	6	75.57142857142857
world_8	1	163	77.75
world_9	1	141	79.33333333333333
world_10	1	31	76.9
