worldname	numPredators	numPrey	mean_energy
world_2	18	148	91.25
world_3	7	125	97.37037037037037
world_4	6	99	97.96969696969697
world_5	7	148	100.475
world_6	15	148	100.61818181818182
world_7	1	93	100.69642857142857
world_8	19	108	92.68
world_9	10	194	96.5764705882353
world_10	13	15	85.75510204081633
world_1	3	11	30.333333333333332
world_2	18	22	19.142857142857142
world_3	8	60	34.172413793103445
world_4	12	109	52.609756097560975
world_5	20	53	46.442622950819676
world_6	8	77	50.85507246376812
world_7	14	196	61.6144578313253
world_8	9	167	67.48913043478261
world_9	7	100	70.1010101010101
world_10	18	89	68.58974358974359
world_1	6	123	115.33333333333333
world_2	18	82	70.41666666666667
world_3	15	36	54.43589743589744
world_4	6	177	63.733333333333334
world_5	19	92	62.546875
world_6	19	51	56.096385542168676
world_7	4	2	53.770114942528735
world_8	3	183	56.06666666666667
world_9	13	125	60.83495145631068
world_10	19	170	67.14754098360656
world_1	9	10	15.11111111111111
world_2	14	67	38.47826086956522
world_3	5	65	47.714285714285715
world_4	12	7	36.1
world_5	6	195	47.608695652173914
world_6	10	3	40.05357142857143
world_7	2	90	42.48275862068966
world_8	11	153	54.31884057971015
world_9	3	1	52.31944444444444
world_10	8	90	56.6625
world_1	7	142	116.42857142857143
world_2	16	132	102.52173913043478
world_3	5	169	106.42857142857143
world_4	20	86	85.14583333333333
world_5	17	140	88.32307692307693
world_6	16	60	79.8395061728395
world_7	6	127	82.13793103448276
world_8	16	111	80.69902912621359
world_9	19	39	72.40163934426229
world_10	4	152	73.84126984126983
world_1	3	63	87.66666666666667
world_2	16	159	98.78947368421052
world_3	2	141	100.80952380952381
world_4	20	186	99.73170731707317
world_5	11	7	80.75
world_6	2	114	81.81481481481481
world_7	7	160	85.95081967213115
world_8	3	139	87.546875
world_9	7	106	89.28169014084507
world_10	15	18	76.5
world_1	3	17	34.666666666666664
world_2	10	124	92.84615384615384
world_3	1	115	94.28571428571429
world_4	2	58	91.4375
world_5	6	172	99.77272727272727
world_6	16	47	72.8157894736842
world_7	16	101	72.66666666666667
world_8	7	10	66.1311475409836
world_9	18	77	62.54430379746835
world_10	12	140	69.04395604395604
world_1	5	25	39.4
world_2	3	147	68.25
world_3	16	149	93.95833333333333
world_4	9	86	92.0
world_5	4	148	94.4054054054054
world_6	3	78	94.45
world_7	13	47	81.86792452830188
world_8	12	55	76.53846153846153
world_9	17	18	63.81707317073171
world_10	3	2	61.83529411764706
world_1	13	186	118.53846153846153
world_2	6	132	115.47368421052632
world_3	10	46	93.86206896551724
world_4	1	141	94.6
world_5	7	191	100.5945945945946
world_6	11	50	89.6875
world_7	16	128	90.6875
world_8	16	25	76.7875
world_9	7	79	77.08045977011494
world_10	20	69	70.86915887850468
world_1	14	96	75.21428571428571
world_2	7	29	65.47619047619048
world_3	19	58	52.65
world_4	18	37	44.672413793103445
world_5	7	21	43.6
world_6	10	52	44.906666666666666
world_7	11	130	52.55813953488372
world_8	13	171	60.84848484848485
world_9	4	32	61.04854368932039
world_10	2	158	62.180952380952384
world_1	16	25	21.125
world_2	10	193	60.84615384615385
world_3	12	168	78.5
world_4	17	31	61.872727272727275
